Customer.ID,Customer.Name,Segment,Sales,Profit,Orders,Quantity,Profit_Margin
AA-103151,Alex Avila,Consumer,1445,12.875999999999976,5,44,0.008910726643598599
AA-103152,Alex Avila,Consumer,6105,568.737,7,50,0.09315921375921375
AA-103153,Alex Avila,Consumer,633,228.95999999999998,2,21,0.36170616113744075
AA-103154,Alex Avila,Consumer,5565,-362.88249999999994,5,30,-0.06520799640610961
AA-103751,Allen Armold,Consumer,2407,577.935,4,35,0.2401059410054009
AA-103752,Allen Armold,Consumer,560,-60.257999999999996,3,28,-0.10760357142857142
AA-103753,Allen Armold,Consumer,1861,-117.58200000000006,7,35,-0.06318216012896295
AA-103754,Allen Armold,Consumer,1056,277.3824,9,41,0.2626727272727273
AA-104801,Andrew Allen,Consumer,5946,601.3884,5,21,0.10114167507568114
AA-104802,Andrew Allen,Consumer,5253,190.99650000000003,7,44,0.03635950885208453
AA-104803,Andrew Allen,Consumer,4704,288.26288,4,49,0.061280374149659866
AA-104804,Andrew Allen,Consumer,1792,435.8274,4,36,0.24320725446428573
AA-106451,Anna Andreadi,Consumer,5264,1578.0795,12,91,0.2997871390577508
AA-106452,Anna Andreadi,Consumer,2730,219.05700000000002,9,62,0.08024065934065934
AA-106453,Anna Andreadi,Consumer,2263,396.49920000000003,9,50,0.17520954485196644
AA-106454,Anna Andreadi,Consumer,5087,857.8033,6,64,0.1686265578926676
AA-3151,Alex Avila,Consumer,11,4.29,1,1,0.39
AA-3152,Alex Avila,Consumer,2234,531.276,6,19,0.23781378692927482
AA-3751,Allen Armold,Consumer,365,49.482,4,18,0.13556712328767123
AA-3752,Allen Armold,Consumer,27,11.28,1,4,0.41777777777777775
AA-3753,Allen Armold,Consumer,261,16.680000000000003,3,8,0.06390804597701151
AA-4801,Andrew Allen,Consumer,496,25.68,2,8,0.051774193548387096
AA-4802,Andrew Allen,Consumer,1085,488.1,1,2,0.4498617511520738
AA-4803,Andrew Allen,Consumer,482,40.832999999999984,2,15,0.08471576763485474
AA-6451,Anna Andreadi,Consumer,1503,-820.4159999999999,8,32,-0.5458522954091816
AA-6452,Anna Andreadi,Consumer,465,212.07,3,3,0.45606451612903226
AB-100151,Aaron Bergman,Consumer,10662,1772.7075,9,128,0.16626406865503657
AB-100152,Aaron Bergman,Consumer,6116,1122.894,12,81,0.18359941137998692
AB-100153,Aaron Bergman,Consumer,2375,694.54,8,46,0.29243789473684206
AB-100154,Aaron Bergman,Consumer,887,129.3465,3,13,0.14582468996617812
AB-100601,Adam Bellavance,Home Office,2107,320.27639999999997,9,42,0.15200588514475555
AB-100602,Adam Bellavance,Home Office,3345,1020.066,5,31,0.304952466367713
AB-100603,Adam Bellavance,Home Office,5210,1119.128,10,103,0.21480383877159306
AB-100604,Adam Bellavance,Home Office,7757,2054.5885,8,56,0.2648689570710326
AB-101051,Adrian Barton,Consumer,4309,1451.607,7,54,0.3368779299141332
AB-101052,Adrian Barton,Consumer,2949,276.91800000000006,6,41,0.09390233977619535
AB-101053,Adrian Barton,Consumer,1234,-260.716,10,54,-0.2112771474878444
AB-101054,Adrian Barton,Consumer,14476,5444.8055,10,73,0.3761263815971263
AB-101501,Aimee Bixby,Consumer,429,92.793,4,11,0.2163006993006993
AB-101502,Aimee Bixby,Consumer,9139,1009.5120000000001,6,61,0.11046197614618668
AB-101503,Aimee Bixby,Consumer,2523,648.2496,9,71,0.2569360285374554
AB-101504,Aimee Bixby,Consumer,969,313.65970000000004,5,37,0.3236942208462333
AB-101651,Alan Barnes,Consumer,3435,578.784,5,42,0.16849606986899562
AB-101652,Alan Barnes,Consumer,6437,1322.793,11,99,0.20549836880534408
